scaffold	start	end	mid	sites	lnL
chr18	276977	277385	277183	50	-295.80596
chr18	277386	277857	277638	50	-456.24111
chr18	277875	280405	279767	50	-466.99903
chr18	280427	280855	280660	50	-330.32103
chr18	280858	281257	281075	50	-511.53936
chr18	281258	281791	281491	50	-353.40021
chr18	281795	283553	282171	50	-501.57356
chr18	283667	284575	284062	50	-442.71839
chr18	284600	287178	286437	50	-346.58882
chr18	287180	289070	287958	50	-424.10409
chr18	289089	290509	289928	50	-481.45951
chr18	290554	292279	291298	50	-439.84100
chr18	292344	293470	292934	50	-468.80190
chr18	293473	295047	294087	50	-492.83145
chr18	295055	296460	295684	50	-382.56954
chr18	296466	297852	297105	50	-424.25202
chr18	297858	298974	298403	50	-438.67142
chr18	298979	301739	300615	50	-450.25619
chr18	301751	302711	302147	50	-403.43641
chr18	302743	303871	303331	50	-398.95152
chr18	303872	307332	305590	50	-481.58505
chr18	307348	308140	307823	50	-493.36878
chr18	308144	308549	308332	50	-473.96565
chr18	308554	310622	309164	50	-350.20702
chr18	310626	312877	312074	50	-542.45871
chr18	312880	313804	313282	50	-555.62292
chr18	313831	315302	314572	50	-374.20595
chr18	315355	316387	315903	50	-420.51393
chr18	316394	318833	317839	50	-490.09024
chr18	318837	321008	319435	50	-383.24625
chr18	321029	322586	321876	50	-372.59588
chr18	322602	323814	323288	50	-325.91696
chr18	323823	325911	324879	50	-416.01636
chr18	325935	326658	326400	50	-397.64653
chr18	326667	327801	327234	50	-330.41741
chr18	327816	331746	328730	50	-397.86535
chr18	331747	333462	332751	50	-398.01946
chr18	333480	334540	333957	50	-579.85412
chr18	334546	338752	338193	50	-391.00258
chr18	338753	340421	339671	50	-360.90440
chr18	340430	342225	341344	50	-442.17038
chr18	342230	343305	342833	50	-403.39845
chr18	343321	344571	343969	50	-357.84571
chr18	344583	345620	345019	50	-368.96674
chr18	345652	348975	346968	50	-540.87399
chr18	348977	352560	351192	50	-563.95169
chr18	352562	360085	356361	50	-500.70078
chr18	360086	360716	360422	50	-509.21809
chr18	360725	361312	361038	50	-481.47068
chr18	361319	362655	361988	50	-376.61352
chr18	362672	363682	363084	50	-385.38053
chr18	363700	364318	364056	50	-543.49191
chr18	364325	365557	364875	50	-435.00337
chr18	365572	366642	365879	50	-335.15906
chr18	366644	367626	367203	50	-535.94721
chr18	367627	368175	367859	50	-347.85465
chr18	368176	369661	369110	50	-372.58862
chr18	369662	370616	370123	50	-317.46964
chr18	370680	371521	371170	50	-364.78377
chr18	371528	372355	371891	50	-435.57905
chr18	372359	372850	372584	50	-360.82876
chr18	372851	373520	373211	50	-391.64121
chr18	373575	374429	374212	50	-365.95428
chr18	374442	375965	375237	50	-663.40014
chr18	375968	376578	376266	50	-450.10941
chr18	376582	377274	376910	50	-401.13077
chr18	377282	378548	377786	50	-425.44480
chr18	378570	379199	378915	50	-440.85819
chr18	379205	379876	379499	50	-482.98032
chr18	379884	381032	380411	50	-502.25380
chr18	381034	381664	381371	50	-613.21195
chr18	381693	383189	382309	50	-541.35117
chr18	383197	383778	383425	50	-410.06857
chr18	383800	384574	384195	50	-419.25810
chr18	384582	385412	385004	50	-358.43114
chr18	385536	386221	385829	50	-490.44346
chr18	386232	389468	387095	50	-536.71079
chr18	389471	389850	389654	50	-453.26682
chr18	389852	390647	390244	50	-576.19036
chr18	390674	394597	394214	50	-406.52766
chr18	394618	395301	394985	50	-612.21420
chr18	395315	395956	395555	50	-443.12862
chr18	396006	399126	397885	50	-389.50468
chr18	399127	401315	400506	50	-353.39671
chr18	401326	401829	401553	50	-329.82041
chr18	401849	402595	402157	50	-471.57663
chr18	402601	402996	402827	50	-345.54764
chr18	403006	404054	403489	50	-489.83077
chr18	404071	404634	404343	50	-354.64540
chr18	404658	405285	404949	50	-279.96946
chr18	405286	405815	405593	50	-429.18318
chr18	405820	406697	406231	50	-435.91699
chr18	406705	407675	407317	50	-417.93396
chr18	407679	410863	409306	50	-380.29729
chr18	410874	412394	412039	50	-281.99083
chr18	412437	413035	412743	50	-343.70288
chr18	413048	414003	413613	50	-299.86992
chr18	414034	415134	414773	50	-369.60607
chr18	415157	415671	415376	50	-376.11488
chr18	415674	416292	416002	50	-272.96350
chr18	416332	416925	416625	50	-377.38159
chr18	416935	417712	417404	50	-256.50024
chr18	417718	419563	418425	50	-331.90562
chr18	419582	421142	420104	50	-330.55703
chr18	421146	421833	421579	50	-481.19939
chr18	421840	422620	422160	50	-378.05228
chr18	422630	423020	422868	50	-343.88479
chr18	423038	424135	423458	50	-375.96801
chr18	424183	424617	424387	50	-299.91243
chr18	424623	425124	424879	50	-290.19700
chr18	425127	425537	425310	50	-352.75494
chr18	425540	426363	425919	50	-254.30517
chr18	426402	426907	426695	50	-329.36925
chr18	426908	427478	427148	50	-255.05125
chr18	427479	428267	427947	50	-500.80342
chr18	428287	428776	428539	50	-258.08844
chr18	428781	429545	429235	50	-380.29398
chr18	429546	430051	429771	50	-287.45322
chr18	430059	431386	430782	50	-397.77701
chr18	431440	432350	431893	50	-383.92376
chr18	432404	433233	432849	50	-322.82852
chr18	433240	433812	433514	50	-358.26062
chr18	433817	434700	434348	50	-395.25091
chr18	434992	435445	435233	50	-347.06639
chr18	435448	436003	435732	50	-318.82681
chr18	436009	436745	436348	50	-416.76661
chr18	436752	438304	437336	50	-434.18880
chr18	438316	438826	438514	50	-408.76971
chr18	438844	441014	439968	50	-409.40602
chr18	441038	441910	441661	50	-339.05577
chr18	441916	442559	442182	50	-421.03455
chr18	442580	447580	444195	50	-485.13822
chr18	448320	449227	448960	50	-343.18892
chr18	449228	449866	449646	50	-322.59957
chr18	449877	450463	450182	50	-436.16585
chr18	450467	451487	450967	50	-384.66869
chr18	451491	452099	451802	50	-388.03559
chr18	452104	453721	453079	50	-348.64623
chr18	453724	454294	454019	50	-448.41333
chr18	454311	455481	454692	50	-341.02949
chr18	455506	456277	455904	50	-381.75932
chr18	456280	456776	456511	50	-435.20039
chr18	456787	457401	457057	50	-436.40419
chr18	457413	458114	457733	50	-338.45680
chr18	458121	458741	458410	50	-327.37529
chr18	458754	459327	459038	50	-332.59624
chr18	459387	459978	459726	50	-353.54441
chr18	460003	466087	461695	50	-363.83220
chr18	466088	466770	466514	50	-422.60692
chr18	466788	467307	467008	50	-478.63543
chr18	467323	468513	467766	50	-273.05593
chr18	468516	470025	469674	50	-390.59021
chr18	470035	470764	470488	50	-413.39351
chr18	471177	474032	472049	50	-376.84813
chr18	474044	475059	474574	50	-372.04717
chr18	475085	478663	477083	50	-330.47067
chr18	478668	479798	479178	50	-336.42046
chr18	479799	480403	480025	50	-286.24861
chr18	480406	481784	480949	50	-277.63570
chr18	481791	483506	482694	50	-354.28278
chr18	483514	485088	484384	50	-355.74943
chr18	485110	485843	485425	50	-342.57373
chr18	485865	486508	486185	50	-327.51355
chr18	486509	487279	486811	50	-293.20161
chr18	487282	489333	488077	50	-340.87137
chr18	489342	489983	489642	50	-415.48356
chr18	489992	490565	490240	50	-383.03317
chr18	490679	491410	491061	50	-345.12064
chr18	491413	491941	491681	50	-298.11645
chr18	491943	492593	492281	50	-403.55301
chr18	492602	492999	492799	50	-285.76307
chr18	493008	493735	493338	50	-368.24186
chr18	493739	494632	494289	50	-335.60818
chr18	494654	495161	494887	50	-282.31518
chr18	495202	496880	496066	50	-313.61142
chr18	496890	498119	497541	50	-322.92882
chr18	498153	499216	498715	50	-308.46585
chr18	499231	500246	499657	50	-350.80222
chr18	500248	504406	502383	50	-307.47817
chr18	504410	505470	505021	50	-375.32271
chr18	505515	506545	505967	50	-291.38093
chr18	506621	507343	506993	50	-348.70438
chr18	507354	507925	507576	50	-328.12009
chr18	507932	508578	508279	50	-276.73717
chr18	508581	509351	508964	50	-394.13517
chr18	509357	509875	509616	50	-420.47004
chr18	509882	510521	510103	50	-369.41017
chr18	510542	511326	510912	50	-408.19004
chr18	511330	512039	511622	50	-406.22260
chr18	512085	512634	512367	50	-492.34182
chr18	512641	513556	513068	50	-651.67510
chr18	513557	514422	514026	50	-626.37061
chr18	514425	514877	514658	50	-518.14974
chr18	514884	515512	515209	50	-531.64019
chr18	515514	516197	515865	50	-470.01685
chr18	516207	516949	516593	50	-481.01956
chr18	516958	517914	517395	50	-589.14340
chr18	517936	518745	518412	50	-450.95865
chr18	518760	519543	519139	50	-661.01405
chr18	519544	520433	519844	50	-628.88882
chr18	520437	521258	520680	50	-597.96233
chr18	521295	522019	521652	50	-541.23916
chr18	522029	522647	522388	50	-358.93415
chr18	522660	523052	522849	50	-371.09870
chr18	523075	523837	523396	50	-418.14704
chr18	523846	524765	524332	50	-689.23321
chr18	524770	525528	525186	50	-635.24717
chr18	525529	525880	525678	50	-339.95153
chr18	525888	526532	526246	50	-461.70152
chr18	526539	527073	526719	50	-329.35425
chr18	527077	527624	527313	50	-461.13069
chr18	527636	528017	527833	50	-464.91238
chr18	528024	530750	529334	50	-384.77889
chr18	530753	531435	531107	50	-360.74525
chr18	531447	532804	532176	50	-406.56967
chr18	532808	533245	533027	50	-351.26868
chr18	533249	534082	533694	50	-383.01422
chr18	534126	535277	534594	50	-491.29715
chr18	535300	536064	535658	50	-331.94133
chr18	536078	536719	536379	50	-356.24893
chr18	536729	537257	536965	50	-421.51901
chr18	537298	538522	537726	50	-390.01714
chr18	538537	540103	539567	50	-437.54366
chr18	540109	541626	540393	50	-304.92264
chr18	541628	542546	542125	50	-307.32567
chr18	542551	543125	542831	50	-306.16852
chr18	543137	543657	543409	50	-326.30332
chr18	543668	544598	544022	50	-260.03521
chr18	544610	545402	545063	50	-325.59939
chr18	545404	545743	545566	50	-373.49106
chr18	545745	546881	546361	50	-387.97421
chr18	546884	547605	547282	50	-368.11716
chr18	547618	548140	547862	50	-329.58769
chr18	548166	548706	548405	50	-352.12753
chr18	548713	549854	549347	50	-398.59402
chr18	549862	550599	550268	50	-376.92041
chr18	550670	551990	551421	50	-333.91250
chr18	551995	553059	552599	50	-380.97997
chr18	553073	554067	553592	50	-479.20229
chr18	554069	554938	554534	50	-323.81122
chr18	554952	558705	556659	50	-420.45274
chr18	558711	559322	559037	50	-328.76785
chr18	559327	560098	559726	50	-406.53095
chr18	560146	560998	560694	50	-360.23371
chr18	561023	561790	561503	50	-388.36797
chr18	561792	562427	562044	50	-383.11011
chr18	562429	563304	562725	50	-324.95040
chr18	563338	563918	563643	50	-404.90450
chr18	563929	564497	564195	50	-369.42956
chr18	564501	565267	564904	50	-374.39635
chr18	565289	566036	565679	50	-412.77512
chr18	566048	566688	566364	50	-417.91362
chr18	566690	567156	566911	50	-376.40702
chr18	567169	567921	567599	50	-420.47251
chr18	568022	570041	569752	50	-298.09929
chr18	570063	570622	570320	50	-372.94912
chr18	570640	571266	570996	50	-380.77285
chr18	571270	572358	571860	50	-392.89851
chr18	572367	573095	572796	50	-276.35827
chr18	573096	573744	573424	50	-398.08354
chr18	573746	574333	574058	50	-329.46659
chr18	574338	574963	574550	50	-296.63633
chr18	574972	576061	575383	50	-374.97858
chr18	576065	577947	577117	50	-443.94006
chr18	577992	580243	579323	50	-428.06248
chr18	580251	580948	580571	50	-283.17421
chr18	580950	581573	581285	50	-265.60987
chr18	581576	582491	581939	50	-318.78277
chr18	582503	584035	583497	50	-341.81262
chr18	584039	585062	584513	50	-266.28729
chr18	585093	586973	585816	50	-255.33291
chr18	586984	587999	587465	50	-297.14759
chr18	588006	588755	588341	50	-391.76640
chr18	588759	589752	589398	50	-327.40208
chr18	589785	590438	590116	50	-343.99306
chr18	590449	591466	590911	50	-353.52479
chr18	591488	592187	591821	50	-335.67761
chr18	592192	593378	592694	50	-356.69185
chr18	593385	594358	593769	50	-307.40811
chr18	594383	594968	594707	50	-365.70272
chr18	595009	595801	595518	50	-307.53717
chr18	595806	596905	596426	50	-375.63618
chr18	596921	597645	597273	50	-364.37095
chr18	597653	598564	598204	50	-297.92448
chr18	598588	599322	598938	50	-264.75168
chr18	599350	600095	599751	50	-326.60683
chr18	600110	600568	600335	50	-294.14518
chr18	600584	604646	601060	50	-326.76474
chr18	604654	605448	605041	50	-354.40301
chr18	605463	606637	606050	50	-362.69127
chr18	606652	608441	607944	50	-355.33841
chr18	608463	609381	608983	50	-345.84476
chr18	609383	610081	609754	50	-403.23295
chr18	610090	610919	610390	50	-482.37480
chr18	610943	611983	611394	50	-335.85950
chr18	611986	612996	612591	50	-418.15026
chr18	612997	613645	613358	50	-331.89508
chr18	613650	615093	614528	50	-407.26331
chr18	615102	615640	615457	50	-357.13043
chr18	615643	616650	615898	50	-273.99766
chr18	616686	617546	617210	50	-360.40092
chr18	617553	619258	618171	50	-414.40785
chr18	619261	620507	619967	50	-480.15283
chr18	620512	620886	620645	50	-465.20073
chr18	620896	621621	621252	50	-426.04404
chr18	621630	621950	621783	50	-376.72431
chr18	621951	624518	623507	50	-323.15865
chr18	624522	625013	624760	50	-416.66024
chr18	625048	625786	625419	50	-698.36970
chr18	625787	626259	626030	50	-399.03310
chr18	626269	626997	626653	50	-563.08126
chr18	626999	628035	627396	50	-463.01288
chr18	628045	629195	628475	50	-384.09941
chr18	629206	630050	629674	50	-337.25285
chr18	630051	630649	630339	50	-509.10108
chr18	630660	631207	630923	50	-435.19982
chr18	631249	632116	631691	50	-380.01076
chr18	632117	632793	632416	50	-408.92569
chr18	632808	633274	633020	50	-458.81955
chr18	633276	633926	633678	50	-390.57565
chr18	633937	634936	634209	50	-427.73609
chr18	635019	635521	635297	50	-351.67984
chr18	635530	636806	636260	50	-400.19345
chr18	636808	637151	636987	50	-456.09121
chr18	637166	637877	637547	50	-435.07625
chr18	637879	638407	638168	50	-579.01442
chr18	638408	638818	638625	50	-532.88683
chr18	638829	639462	639204	50	-459.94270
chr18	639464	640837	640183	50	-370.45366
chr18	640886	641694	641339	50	-354.40926
chr18	641845	642346	642056	50	-431.27108
chr18	642359	642885	642570	50	-414.01003
chr18	642889	643619	643278	50	-392.73887
chr18	643625	644059	643862	50	-376.69157
chr18	644061	644397	644245	50	-380.61786
chr18	644402	644919	644661	50	-338.04444
chr18	644922	645976	645404	50	-405.03228
chr18	645979	646743	646438	50	-372.18098
chr18	646746	647651	647233	50	-523.12500
chr18	647664	648477	648117	50	-449.53148
chr18	648483	649168	648730	50	-315.78104
chr18	649172	649948	649572	50	-343.74309
chr18	649951	650394	650128	50	-370.42425
chr18	650402	651171	650824	50	-377.81017
chr18	651183	651608	651393	50	-356.05542
chr18	651639	652161	651880	50	-452.71732
chr18	652168	652994	652628	50	-407.24200
chr18	653181	653997	653620	50	-342.25185
chr18	654004	654645	654400	50	-351.05473
chr18	654646	655489	655002	50	-391.42440
chr18	655499	655849	655688	50	-383.21625
chr18	655858	656554	656119	50	-449.04568
chr18	656574	657060	656883	50	-399.89641
chr18	657062	660451	659334	50	-427.03984
chr18	660456	661231	660920	50	-313.75373
chr18	661257	662091	661612	50	-371.88280
chr18	662092	662589	662333	50	-280.72979
chr18	662602	663293	662895	50	-411.62142
chr18	663304	663733	663503	50	-305.89972
chr18	663736	664235	663942	50	-273.96736
chr18	664238	664998	664626	50	-473.04001
chr18	665007	666226	665530	50	-512.60084
chr18	666233	667759	667307	50	-407.57589
chr18	667766	668456	668174	50	-435.14520
chr18	668470	669382	668912	50	-527.30142
chr18	669408	670027	669651	50	-526.09482
chr18	670039	670633	670350	50	-446.65694
chr18	670635	671209	670941	50	-280.22155
chr18	671214	671803	671539	50	-378.74253
chr18	671806	672383	672113	50	-325.44790
chr18	672386	672814	672573	50	-379.38706
chr18	672831	673392	673175	50	-379.42429
chr18	673394	673806	673602	50	-401.46626
chr18	673809	674477	674134	50	-285.65420
chr18	674486	675021	674760	50	-332.42847
chr18	675025	677209	676801	50	-265.43031
chr18	677212	677705	677416	50	-322.35683
chr18	677722	678275	677987	50	-416.82852
chr18	678277	678647	678446	50	-394.13623
chr18	678657	679307	678960	50	-381.51612
chr18	679332	679938	679675	50	-395.04918
chr18	679950	680511	680210	50	-374.42705
chr18	680517	680915	680714	50	-409.19981
chr18	680953	681690	681262	50	-450.36846
chr18	681691	682118	681896	50	-541.12122
chr18	682123	684189	682607	50	-579.30448
chr18	684203	685059	684563	50	-462.12401
chr18	685060	687589	687030	50	-489.87010
chr18	687611	688512	688000	50	-453.21882
chr18	688518	689174	688773	50	-398.82161
chr18	689176	690031	689687	50	-442.03272
chr18	690041	690674	690355	50	-412.22828
chr18	690679	691308	690915	50	-377.10658
chr18	691310	691849	691562	50	-351.13397
chr18	691850	692472	692132	50	-506.04844
chr18	692480	692986	692787	50	-432.73467
chr18	693003	694116	693346	50	-515.44625
chr18	694123	695355	694856	50	-411.06988
chr18	695368	696411	695962	50	-484.21925
chr18	696423	697954	697096	50	-476.65100
chr18	698004	698469	698220	50	-500.95321
chr18	698498	698939	698748	50	-427.87793
chr18	698957	699319	699153	50	-328.94957
chr18	699325	699732	699525	50	-511.98864
chr18	699740	700176	699943	50	-497.08947
chr18	700183	700660	700372	50	-526.52298
chr18	700688	701469	701085	50	-354.57765
chr18	701484	701944	701716	50	-457.37536
chr18	701960	702590	702307	50	-375.96967
chr18	702598	703123	702904	50	-443.99692
chr18	703128	703530	703293	50	-447.32788
chr18	703531	703978	703764	50	-468.11406
chr18	703979	704356	704163	50	-440.79941
chr18	704362	705206	704656	50	-508.81839
chr18	705216	706027	705632	50	-462.63617
chr18	706043	706467	706263	50	-423.70830
chr18	706480	707057	706701	50	-351.27949
chr18	707059	707442	707268	50	-436.15155
chr18	707446	709613	708697	50	-304.10307
chr18	709628	710097	709836	50	-321.13653
chr18	710113	710715	710392	50	-333.70697
chr18	710732	711625	711197	50	-404.92441
chr18	711630	712409	712056	50	-378.12086
chr18	712419	712938	712640	50	-313.70329
chr18	712944	713620	713300	50	-335.45560
chr18	713638	715388	714299	50	-466.59610
chr18	715395	716469	716093	50	-395.78306
chr18	716494	716886	716692	50	-337.55018
chr18	716895	717509	717170	50	-383.12725
chr18	717516	717965	717772	50	-438.43559
chr18	717969	718630	718269	50	-566.86314
chr18	718632	719153	718907	50	-397.91943
chr18	719159	720543	719820	50	-439.99267
chr18	720547	721055	720806	50	-441.51753
chr18	721065	721476	721274	50	-328.01327
chr18	721477	722609	721976	50	-454.99963
chr18	722612	724705	723988	50	-346.39602
chr18	724706	726382	725083	50	-448.87926
chr18	726386	730731	727984	50	-602.35142
chr18	730733	731200	730948	50	-337.72199
chr18	731207	731648	731399	50	-397.46555
chr18	731651	732036	731819	50	-375.77901
chr18	732046	732615	732307	50	-280.72986
chr18	732622	733530	733001	50	-682.73927
chr18	734973	735726	735331	50	-607.14983
chr18	735756	738450	737818	50	-401.05783
chr18	738484	739124	738791	50	-451.72682
chr18	739128	739981	739526	50	-394.70194
chr18	739984	740894	740369	50	-551.39349
chr18	740923	741674	741309	50	-431.53058
chr18	741675	742311	741976	50	-418.08431
chr18	742314	743825	742686	50	-459.59250
chr18	743831	744550	744187	50	-529.84826
chr18	744551	745626	745165	50	-454.74358
chr18	745635	746262	745930	50	-505.51165
chr18	746265	747099	746673	50	-481.94655
chr18	747124	749242	747909	50	-283.64199
chr18	749255	749922	749553	50	-387.95985
chr18	749933	752390	750669	50	-301.93854
chr18	752403	752859	752600	50	-392.71001
chr18	752889	753331	753136	50	-545.63654
chr18	753351	755037	753917	50	-470.13493
chr18	755038	756315	755889	50	-420.28901
chr18	756316	757000	756618	50	-275.87022
chr18	757004	758466	757924	50	-363.91321
