scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
chr18,170001,190000,179216,848,557,1.0601,1.2063,-0.0645,-0.0011,-0.001
chr18,175001,195000,183859,723,480,1.0389,0.2813,0.5739,0.0071,0.0064
chr18,180001,200000,189678,794,537,0.8639,0.4638,0.3013,0.0037,0.0034
chr18,185001,205000,195827,610,427,0.8724,0.3727,0.4013,0.0061,0.0057
chr18,190001,210000,200800,736,530,0.4711,0.4931,-0.0229,-0.0003,-0.0002
chr18,195001,215000,204777,829,599,0.5211,0.5878,-0.0602,-0.0006,-0.0006
chr18,200001,220000,210803,766,524,0.9561,0.4729,0.3381,0.0065,0.0059
chr18,205001,225000,213128,736,493,1.1571,0.5278,0.3735,0.0099,0.0091
chr18,210001,230000,217750,574,359,1.0049,0.3449,0.4889,0.0145,0.0133
chr18,215001,235000,224940,545,326,0.9711,0.2502,0.5902,0.0203,0.0185
chr18,220001,240000,232901,626,391,0.5271,0.2599,0.3395,0.0056,0.0049
chr18,225001,245000,238815,1224,815,3.8432,3.6686,0.0233,0.0031,0.0024
chr18,230001,250000,239809,1182,788,3.7968,3.6686,0.0172,0.0024,0.0019
chr18,235001,255000,243263,1198,802,5.405,3.8164,0.1723,0.0384,0.0273
chr18,240001,260000,245525,975,651,5.2902,3.7141,0.175,0.0523,0.037
chr18,250001,270000,260879,686,429,4.8593,0.4702,0.8235,0.0732,0.0659
chr18,255001,275000,266815,702,444,3.8484,0.6638,0.7058,0.0517,0.0469
chr18,260001,280000,270697,967,620,7.2584,0.7445,0.814,0.0933,0.0805
chr18,265001,285000,276078,1234,814,9.2854,2.8294,0.5329,0.0836,0.0704
chr18,270001,290000,279610,1164,769,11.0886,3.5639,0.5135,0.1185,0.0941
chr18,275001,295000,283751,1214,793,13.5397,3.7871,0.5629,0.1327,0.1053
chr18,280001,300000,288743,1157,749,13.1417,4.559,0.4849,0.0874,0.0731
chr18,285001,305000,295390,926,588,10.9435,5.1389,0.3609,0.049,0.0422
chr18,290001,310000,299788,993,637,10.651,5.1278,0.35,0.0463,0.0399
chr18,295001,315000,304933,942,616,9.0321,5.1515,0.2736,0.0368,0.0317
chr18,300001,320000,310040,874,570,6.6103,4.4022,0.2005,0.0258,0.0219
chr18,305001,325000,314733,836,532,4.6523,2.5129,0.2986,0.0343,0.029
chr18,310001,330000,319888,799,502,4.2142,1.8124,0.3985,0.0372,0.0325
chr18,315001,335000,325242,778,489,4.5745,2.5189,0.2898,0.0376,0.0322
chr18,320001,340000,329370,679,431,4.037,2.5156,0.2322,0.0352,0.0298
chr18,325001,345000,335557,753,479,4.4758,2.6815,0.2507,0.0274,0.0237
chr18,330001,350000,340198,671,422,2.961,3.5231,-0.0867,-0.0091,-0.0079
chr18,335001,355000,344688,585,361,4.2291,3.6554,0.0728,0.009,0.0079
chr18,340001,360000,346674,519,326,4.125,3.5554,0.0742,0.0096,0.0084
chr18,345001,365000,358114,729,486,7.7473,4.529,0.2622,0.0499,0.0422
chr18,350001,370000,363148,986,664,14.8043,3.8689,0.5856,0.1153,0.0979
chr18,355001,375000,367115,1288,825,12.2239,2.6349,0.6453,0.0833,0.0715
chr18,360001,380000,370036,1724,1089,13.148,3.9471,0.5382,0.061,0.0513
chr18,365001,385000,375186,1653,1022,9.8964,2.0892,0.6514,0.0592,0.0485
chr18,370001,390000,379058,1534,934,5.3025,3.3873,0.2204,0.0177,0.0139
chr18,375001,395000,382894,1282,799,8.4941,3.3368,0.4359,0.0554,0.041
chr18,380001,400000,388183,1021,637,21.6345,2.4446,0.797,0.2501,0.1753
chr18,385001,405000,396336,1069,664,42.7497,2.1571,0.9039,0.4483,0.3129
chr18,390001,410000,401067,1065,668,50.9904,1.2362,0.9527,0.5354,0.3819
chr18,395001,415000,404647,1135,712,52.5794,1.2937,0.952,0.5517,0.382
chr18,400001,420000,409165,1261,802,44.2339,1.2469,0.9452,0.5237,0.367
chr18,405001,425000,415775,1192,774,31.4349,2.6822,0.8428,0.5133,0.3329
chr18,410001,430000,421434,1412,924,31.1978,2.7812,0.8363,0.4696,0.2905
chr18,415001,435000,425041,1478,971,35.2072,3.4108,0.8234,0.4527,0.3054
chr18,420001,440000,429709,1519,1051,54.1717,4.8856,0.8345,0.5259,0.3637
chr18,425001,445000,433335,1327,940,51.0226,3.4963,0.8717,0.5226,0.3752
chr18,430001,450000,438621,1031,762,45.5212,2.7799,0.8849,0.5826,0.4232
chr18,435001,455000,444586,1064,808,44.0187,3.5021,0.8526,0.5003,0.3486
chr18,440001,460000,451943,1091,817,30.3685,9.5703,0.5208,0.227,0.149
chr18,445001,465000,454441,972,717,29.081,10.8571,0.4563,0.1975,0.129
chr18,450001,470000,458738,1055,744,47.1272,11.3388,0.6121,0.3145,0.1716
chr18,455001,475000,463601,893,638,51.3721,10.7348,0.6543,0.4016,0.1761
chr18,460001,480000,470943,660,440,50.1138,3.202,0.8799,0.6673,0.2295
chr18,465001,485000,474436,787,526,62.7061,1.8941,0.9414,0.7559,0.265
chr18,470001,490000,481060,793,511,64.8225,1.473,0.9556,0.7782,0.3264
chr18,475001,495000,487184,1065,674,96.9567,0.7085,0.9855,0.7863,0.4183
chr18,480001,500000,490497,1114,709,106.3868,0.8364,0.9844,0.7803,0.4677
chr18,485001,505000,493124,1015,646,96.4939,0.7693,0.9842,0.7693,0.4815
chr18,490001,510000,499410,1115,732,106.9328,0.6959,0.9871,0.7733,0.4731
chr18,495001,515000,507530,1159,760,65.4916,2.4884,0.9268,0.4949,0.3494
chr18,500001,520000,512288,1401,922,48.1814,5.4749,0.7959,0.2659,0.1991
chr18,505001,525000,515405,1756,1165,45.5471,7.8315,0.7066,0.1939,0.1502
chr18,510001,530000,519363,1755,1186,13.1213,8.9342,0.1898,0.0239,0.0195
chr18,515001,535000,524410,1645,1147,10.58,7.2667,0.1857,0.0195,0.0162
chr18,520001,540000,529303,1516,1095,9.5,5.1333,0.2984,0.033,0.0268
chr18,525001,545000,534620,1412,1012,5.0926,3.4976,0.1857,0.0157,0.0126
chr18,530001,550000,540336,1469,1050,2.2904,2.7445,-0.0902,-0.0041,-0.0035
chr18,535001,555000,545263,1452,1024,2.9251,3.4049,-0.0758,-0.0049,-0.0042
chr18,540001,560000,548943,1287,881,2.4627,4.1123,-0.2509,-0.0189,-0.017
chr18,545001,565000,555018,1415,974,2.9464,4.2192,-0.1776,-0.0117,-0.0103
chr18,550001,570000,560411,1319,891,2.1668,4.0739,-0.3056,-0.0188,-0.0162
chr18,555001,575000,566280,1417,965,6.3702,3.4739,0.2942,0.0277,0.0225
chr18,560001,580000,568514,1425,979,6.1675,2.2882,0.4588,0.034,0.0278
chr18,565001,585000,573937,1246,855,5.8054,1.6304,0.5615,0.0393,0.0325
chr18,570001,590000,578783,1150,811,5.8016,2.4248,0.4105,0.0322,0.0261
chr18,575001,595000,585958,1023,735,3.0546,2.306,0.1396,0.0065,0.0055
chr18,580001,600000,590585,1206,864,9.1053,1.634,0.6957,0.0567,0.0481
chr18,585001,605000,594320,1052,766,10.262,1.4891,0.7466,0.0746,0.0621
chr18,590001,610000,598875,1072,775,12.6516,0.6091,0.9081,0.0988,0.0832
chr18,595001,615000,605035,1082,752,11.7041,1.0179,0.84,0.0989,0.0799
chr18,600001,620000,611153,1038,694,6.9223,1.5269,0.6386,0.0625,0.0482
chr18,605001,625000,615108,1218,819,16.9549,2.1282,0.777,0.1584,0.1135
chr18,610001,630000,620307,1418,940,22.9742,4.5044,0.6722,0.2067,0.1289
chr18,615001,635000,625736,1570,1065,29.7915,5.3028,0.6978,0.2926,0.172
chr18,620001,640000,630407,1699,1202,34.9023,6.5319,0.6847,0.2606,0.1666
chr18,625001,645000,635245,1917,1336,31.8144,7.1428,0.6333,0.1934,0.1265
chr18,630001,650000,640084,1920,1334,28.613,8.6538,0.5356,0.1601,0.1091
chr18,635001,655000,645468,1984,1366,28.21,9.0979,0.5123,0.1552,0.1097
chr18,640001,660000,649026,1823,1211,23.4651,8.4455,0.4707,0.1601,0.1079
chr18,645001,665000,654515,1753,1180,15.7425,9.665,0.2392,0.0723,0.0535
chr18,650001,670000,659173,1632,1109,13.0353,6.8619,0.3103,0.0707,0.0536
chr18,655001,675000,665947,1620,1098,13.132,5.7313,0.3923,0.0703,0.0561
chr18,660001,680000,670140,1708,1183,12.4485,5.4675,0.3897,0.064,0.0518
chr18,665001,685000,675141,1639,1146,15.2084,5.4747,0.4706,0.0912,0.0733
chr18,670001,690000,678971,1581,1111,15.1751,5.8197,0.4456,0.0839,0.0711
chr18,675001,695000,685187,1472,1015,10.2474,6.8728,0.1971,0.0312,0.0263
chr18,680001,700000,690695,1595,1063,11.077,10.2646,0.0381,0.0074,0.006
chr18,685001,705000,696384,1752,1146,11.372,13.5952,-0.089,-0.0195,-0.0152
chr18,690001,710000,699684,1827,1208,10.5733,13.754,-0.1307,-0.031,-0.0234
chr18,695001,715000,704056,1740,1195,10.1852,12.6566,-0.1082,-0.0242,-0.0179
chr18,700001,720000,709328,1687,1209,15.7351,13.1979,0.0877,0.02,0.0156
chr18,705001,725000,714750,1452,1061,12.6289,8.7735,0.1801,0.0343,0.0273
chr18,710001,730000,717711,1168,849,11.2753,7.2811,0.2152,0.0424,0.0337
chr18,715001,735000,723774,1186,800,13.5359,7.3249,0.2977,0.0885,0.0694
chr18,720001,740000,730114,1019,656,6.73,2.4821,0.4611,0.0808,0.0643
chr18,725001,745000,736430,1031,623,5.7941,1.1494,0.6689,0.0716,0.0609
chr18,730001,750000,739543,1263,762,7.3023,3.8864,0.3053,0.0378,0.0316
chr18,735001,755000,744929,1167,727,5.6279,5.7348,-0.0094,-0.0012,-0.001
chr18,740001,760000,750062,1247,737,9.301,7.2342,0.125,0.0217,0.0178
chr18,745001,765000,755240,1238,728,10.4699,7.4948,0.1656,0.0289,0.0239
chr18,750001,770000,760994,1380,837,9.211,5.3816,0.2624,0.0302,0.0255
chr18,755001,775000,765343,1505,934,10.7028,9.4128,0.0641,0.0083,0.0069
chr18,760001,780000,770165,1559,1031,7.3847,8.6891,-0.0812,-0.0077,-0.0065
chr18,765001,785000,775155,1704,1160,7.663,9.0441,-0.0827,-0.0083,-0.0069
chr18,770001,790000,780022,1654,1114,7.3054,8.8143,-0.0936,-0.0109,-0.0092
chr18,775001,795000,785247,1733,1125,2.711,2.3396,0.0735,0.0025,0.0022
chr18,780001,800000,789813,1722,1083,2.0648,1.9254,0.0349,0.0011,0.001
chr18,785001,805000,795236,1716,1046,2.1874,2.2044,-0.0039,-0.0001,-0.0001
chr18,790001,810000,800246,1808,1097,4.5306,3.6705,0.1049,0.0062,0.0053
chr18,795001,815000,805528,1833,1122,6.9338,3.9008,0.2799,0.0248,0.0202
chr18,800001,820000,809805,1828,1115,12.2284,5.328,0.393,0.0525,0.0427
chr18,805001,825000,814724,1833,1137,21.8994,6.463,0.5443,0.1239,0.0997
chr18,810001,830000,820506,1969,1270,24.1163,8.3764,0.4844,0.1317,0.1013
chr18,815001,835000,825628,1990,1281,28.7653,9.9206,0.4871,0.1517,0.1155
chr18,820001,840000,829512,1988,1291,25.5983,8.9744,0.4808,0.1298,0.1021
chr18,825001,845000,834051,1930,1258,16.4352,8.0047,0.3449,0.0682,0.0534
chr18,830001,850000,839442,1691,1062,18.7869,5.8754,0.5235,0.1103,0.0885
chr18,835001,855000,845272,1619,1036,17.6502,6.507,0.4613,0.1069,0.0846
chr18,840001,860000,850821,1809,1133,27.296,7.4473,0.5713,0.2043,0.1577
chr18,845001,865000,856067,2043,1306,36.2138,9.9859,0.5677,0.2579,0.197
chr18,850001,870000,859680,2011,1303,36.8656,9.077,0.6049,0.305,0.2265
chr18,855001,875000,862120,1628,1036,31.058,6.6826,0.6459,0.3653,0.2713
chr18,860001,880000,868314,1437,933,27.3701,6.2585,0.6278,0.325,0.2464
chr18,865001,885000,877102,1408,902,28.0392,4.7959,0.7079,0.3434,0.2646
chr18,870001,890000,882478,1496,951,34.6822,5.0038,0.7478,0.3566,0.2917
chr18,875001,895000,885208,1880,1186,38.6567,7.2809,0.683,0.3005,0.2437
chr18,880001,900000,889973,2079,1323,36.7904,7.2406,0.6711,0.2684,0.2135
chr18,885001,905000,895210,1883,1188,29.217,7.3442,0.5983,0.2363,0.1774
chr18,890001,910000,899356,1811,1140,20.2139,8.0875,0.4285,0.1624,0.1157
chr18,895001,915000,902617,1492,945,18.0335,6.4308,0.4743,0.2028,0.1419
chr18,900001,920000,910459,1513,889,21.0683,6.9709,0.5028,0.2093,0.1532
chr18,905001,925000,916237,1603,925,23.918,6.7922,0.5577,0.2143,0.1657
chr18,910001,930000,921408,1690,970,25.3646,5.9562,0.6197,0.2142,0.1631
chr18,915001,935000,924944,2157,1270,31.5421,6.6072,0.6536,0.1964,0.15
chr18,920001,940000,930022,2010,1219,29.7073,6.7522,0.6296,0.1964,0.1494
chr18,925001,945000,934966,1993,1235,29.6005,6.1389,0.6565,0.2159,0.1605
chr18,930001,950000,939677,2064,1283,29.7807,9.8248,0.5039,0.1784,0.1328
chr18,935001,955000,945182,2000,1245,33.3471,11.9658,0.4719,0.1981,0.151
chr18,940001,960000,950040,2072,1296,34.0239,13.4783,0.4325,0.1901,0.1367
chr18,945001,965000,954330,1955,1227,32.4694,13.885,0.4009,0.1597,0.1193
chr18,950001,970000,959045,1807,1153,29.1497,9.3007,0.5162,0.1829,0.14
chr18,955001,975000,963813,1550,1008,21.8851,5.8785,0.5765,0.1899,0.1378
chr18,960001,980000,968260,1149,785,15.9511,2.2749,0.7504,0.2092,0.1559
chr18,965001,985000,974933,1166,797,17.2878,0.9194,0.899,0.3157,0.1946
chr18,970001,990000,981080,1104,772,15.1267,1.7645,0.7911,0.3301,0.1898
chr18,975001,995000,985873,1112,773,11.6427,1.9332,0.7152,0.2874,0.161
chr18,980001,1000000,989014,1231,849,10.7148,2.3005,0.6465,0.2366,0.1379
chr18,985001,1005000,994096,1071,738,6.9136,2.4983,0.4691,0.1456,0.104
chr18,990001,1010000,1000007,1090,719,10.7678,2.1436,0.6679,0.2392,0.1663
chr18,995001,1015000,1005694,1146,738,13.253,2.2344,0.7115,0.2603,0.1832
chr18,1000001,1020000,1010849,1286,832,22.3948,3.2679,0.7453,0.3319,0.2399
chr18,1005001,1025000,1015515,1455,947,27.3428,2.5692,0.8282,0.365,0.2657
chr18,1010001,1030000,1020375,1523,1024,27.9983,2.4734,0.8377,0.3503,0.2585
chr18,1015001,1035000,1025187,1612,1083,36.3181,3.4416,0.8269,0.3885,0.2912
chr18,1020001,1040000,1030302,1672,1099,35.6751,3.6428,0.8147,0.3879,0.2852
chr18,1025001,1045000,1035437,1789,1170,43.0102,9.7558,0.6302,0.3301,0.2403
chr18,1030001,1050000,1040679,1975,1240,59.8178,16.2754,0.5722,0.356,0.2414
chr18,1035001,1055000,1045028,2002,1251,77.7323,16.6571,0.6471,0.4013,0.274
chr18,1040001,1060000,1049183,1946,1213,86.0168,15.9614,0.687,0.4194,0.2929
chr18,1045001,1065000,1054873,2011,1243,90.2405,13.29,0.7433,0.4296,0.2986
chr18,1050001,1070000,1059817,1809,1125,84.0481,7.4761,0.8366,0.4509,0.3188
chr18,1055001,1075000,1065112,1844,1136,70.5825,7.5954,0.8057,0.4334,0.3055
chr18,1060001,1080000,1069586,1900,1182,76.0377,6.7367,0.8372,0.4932,0.3441
chr18,1065001,1085000,1074231,1560,946,75.1387,3.2613,0.9168,0.6394,0.4107
chr18,1070001,1090000,1078493,1426,852,63.2916,2.894,0.9125,0.675,0.4342
chr18,1075001,1095000,1084661,1343,814,59.7793,1.8095,0.9412,0.7411,0.4431
chr18,1080001,1100000,1091623,1376,832,71.3607,2.6052,0.9296,0.8193,0.4206
chr18,1085001,1105000,1096449,1689,1041,76.6481,3.836,0.9047,0.7382,0.422
chr18,1090001,1110000,1100795,2028,1230,84.8565,4.8405,0.8921,0.7007,0.4141
chr18,1095001,1115000,1105470,2191,1286,93.2842,4.8771,0.9006,0.7194,0.4366
chr18,1100001,1120000,1110037,2266,1290,73.5973,4.0431,0.8959,0.6265,0.4131
chr18,1105001,1125000,1114315,2138,1170,72.6638,4.1845,0.8911,0.6468,0.4403
chr18,1110001,1130000,1119831,2142,1219,92.1761,3.3836,0.9292,0.7372,0.5127
chr18,1115001,1135000,1125273,2169,1264,93.9803,3.0124,0.9379,0.7037,0.4818
chr18,1120001,1140000,1129140,1875,1091,92.2287,2.9666,0.9377,0.7531,0.436
chr18,1125001,1145000,1132309,1600,947,80.3022,1.5945,0.9611,0.7739,0.3809
chr18,1130001,1150000,1138016,1313,739,61.4562,0.6867,0.9779,0.6841,0.2751
chr18,1135001,1155000,1145583,1032,566,59.9245,1.6277,0.9471,0.7128,0.2403
chr18,1140001,1160000,1151851,1187,623,66.0657,1.9968,0.9413,0.6761,0.2672
chr18,1145001,1165000,1155975,1475,802,78.641,5.2557,0.8747,0.5987,0.2787
chr18,1150001,1170000,1160015,1486,796,87.1288,5.0646,0.8901,0.6639,0.3471
chr18,1155001,1175000,1165010,1648,852,81.982,5.6778,0.8705,0.6254,0.3631
chr18,1160001,1180000,1169643,1580,856,74.8664,7.3392,0.8214,0.5958,0.3647
chr18,1165001,1185000,1174923,1544,839,68.576,5.3283,0.8558,0.6526,0.3934
chr18,1170001,1190000,1179509,1625,916,51.841,6.4428,0.7789,0.4944,0.3083
chr18,1175001,1195000,1184676,1471,907,39.7639,4.5215,0.7958,0.3957,0.2867
chr18,1180001,1200000,1189418,1450,922,30.2812,2.9108,0.8246,0.304,0.23
chr18,1185001,1205000,1194708,1391,923,17.4229,2.6946,0.7321,0.1711,0.1437
chr18,1190001,1210000,1200987,1504,987,19.7438,2.9944,0.7366,0.1808,0.1509
chr18,1195001,1215000,1205747,1614,1033,22.9102,4.0535,0.6993,0.1922,0.156
chr18,1200001,1220000,1209578,1586,1020,23.1815,4.2097,0.6926,0.2057,0.1655
chr18,1205001,1225000,1213507,1501,926,21.8366,3.6198,0.7156,0.2076,0.1677
chr18,1210001,1230000,1219613,1356,843,21.9943,2.9435,0.7639,0.2158,0.1806
chr18,1215001,1235000,1226294,1428,857,26.5839,2.4733,0.8298,0.2571,0.2173
chr18,1220001,1240000,1231265,1609,941,28.9066,2.4531,0.8435,0.2556,0.2178
chr18,1225001,1245000,1234793,1696,1021,29.3084,2.7468,0.8286,0.2499,0.2127
chr18,1230001,1250000,1239911,1883,1135,26.7032,4.1347,0.7318,0.2142,0.1765
chr18,1235001,1255000,1245637,1994,1250,22.7613,9.4467,0.4134,0.1493,0.1099
chr18,1240001,1260000,1250100,1873,1182,21.5758,10.5219,0.3444,0.1342,0.0923
chr18,1245001,1265000,1252969,1747,1089,21.8949,11.0297,0.33,0.1467,0.0933
chr18,1250001,1270000,1258696,1585,978,24.4417,10.2796,0.4079,0.2353,0.1407
chr18,1255001,1275000,1266402,1542,919,25.2879,5.3732,0.6495,0.2581,0.1831
chr18,1260001,1280000,1271333,1640,975,28.1965,5.5754,0.6698,0.2893,0.21
chr18,1265001,1285000,1275745,2006,1209,33.2575,5.9881,0.6948,0.292,0.2214
chr18,1270001,1290000,1279777,2085,1258,27.4131,9.0158,0.505,0.1573,0.1259
chr18,1275001,1295000,1284270,1832,1092,18.7014,7.9724,0.4022,0.1055,0.0867
chr18,1280001,1300000,1289290,1824,1067,10.9436,6.6462,0.2443,0.0402,0.0352
chr18,1285001,1305000,1295102,1665,946,2.9728,5.8014,-0.3224,-0.0256,-0.0237
chr18,1290001,1310000,1301220,1796,1058,5.9535,2.1031,0.4779,0.0292,0.027
chr18,1295001,1315000,1305842,2072,1237,12.3523,4.8693,0.4345,0.0446,0.0391
chr18,1300001,1320000,1310533,2205,1376,25.1269,7.1935,0.5549,0.1022,0.0827
chr18,1305001,1325000,1314646,2293,1410,33.2048,8.033,0.6104,0.1316,0.1032
chr18,1310001,1330000,1319299,2122,1294,38.1758,8.6773,0.6296,0.1814,0.1343
chr18,1315001,1335000,1324774,2087,1285,42.0924,7.8641,0.6852,0.2555,0.1752
chr18,1320001,1340000,1330037,1978,1172,38.4281,5.9824,0.7306,0.2488,0.1781
chr18,1325001,1345000,1335622,2083,1229,40.9104,7.0065,0.7076,0.2849,0.201
chr18,1330001,1350000,1340325,2227,1313,45.6502,8.5517,0.6844,0.2912,0.2055
chr18,1335001,1355000,1345636,2315,1366,49.9936,8.7245,0.7028,0.3104,0.2283
chr18,1340001,1360000,1349922,2413,1391,53.7232,10.3973,0.6757,0.326,0.239
chr18,1345001,1365000,1352706,1828,1078,42.7758,7.9644,0.6861,0.3466,0.2505
chr18,1350001,1370000,1358958,1843,1045,35.4089,8.665,0.6068,0.24,0.1845
chr18,1355001,1375000,1365277,1676,936,22.785,9.1237,0.4281,0.1189,0.0962
chr18,1360001,1380000,1372121,1672,967,12.5264,11.9599,0.0231,0.0046,0.0039
chr18,1365001,1385000,1374888,2203,1289,17.493,15.0061,0.0765,0.0163,0.0135
chr18,1370001,1390000,1380199,2192,1338,19.3302,13.4882,0.178,0.0415,0.0341
chr18,1375001,1395000,1384933,2274,1387,26.9852,12.1521,0.379,0.1115,0.0887
chr18,1380001,1400000,1389389,2124,1312,33.663,9.0952,0.5746,0.1892,0.1532
chr18,1385001,1405000,1394383,2057,1256,33.4526,7.7831,0.6225,0.195,0.1588
chr18,1390001,1410000,1400131,2083,1244,27.1826,7.562,0.5647,0.1426,0.1158
chr18,1395001,1415000,1405612,2110,1249,24.0793,8.3948,0.483,0.1146,0.0929
chr18,1400001,1420000,1410295,2296,1337,18.6269,10.9181,0.2609,0.0527,0.0421
chr18,1405001,1425000,1414809,2326,1321,17.6907,10.5638,0.2522,0.0522,0.0415
chr18,1410001,1430000,1419391,2182,1258,20.908,11.2263,0.3013,0.0851,0.0658
chr18,1415001,1435000,1424878,2202,1250,29.6911,12.7396,0.3995,0.1379,0.1097
chr18,1420001,1440000,1430241,2179,1245,31.4135,9.1063,0.5505,0.2339,0.1761
chr18,1425001,1445000,1435242,2224,1304,46.1635,8.8711,0.6776,0.3676,0.2834
chr18,1430001,1450000,1439461,2219,1295,46.1015,8.3265,0.694,0.3995,0.309
chr18,1435001,1455000,1444833,2180,1307,41.8885,6.5445,0.7298,0.4635,0.3347
chr18,1440001,1460000,1450090,2169,1308,50.6581,11.9118,0.6192,0.414,0.3142
chr18,1445001,1465000,1455342,2152,1305,40.2476,12.4853,0.5265,0.3052,0.22
chr18,1450001,1470000,1460191,2332,1372,39.2776,12.7867,0.5088,0.2166,0.1601
chr18,1455001,1475000,1464988,2298,1326,33.1447,13.9995,0.4061,0.1353,0.1028
chr18,1460001,1480000,1470086,2320,1337,22.5925,13.9009,0.2382,0.0647,0.0485
chr18,1465001,1485000,1474815,2311,1320,26.4856,15.7547,0.254,0.081,0.0576
chr18,1470001,1490000,1480214,2280,1320,36.8306,15.4551,0.4088,0.1807,0.1293
chr18,1475001,1495000,1485105,2341,1373,40.2747,14.8633,0.4609,0.2533,0.1719
chr18,1480001,1500000,1489826,2272,1333,46.9722,11.6137,0.6035,0.3409,0.2359
chr18,1485001,1505000,1493358,1918,1130,35.7276,8.4378,0.6179,0.3287,0.2421
chr18,1490001,1510000,1499221,1822,1104,28.3526,8.8451,0.5244,0.299,0.199
chr18,1495001,1515000,1505592,1753,1088,31.6507,8.7906,0.5653,0.2967,0.2119
chr18,1500001,1520000,1511555,1724,1065,30.859,11.1721,0.4684,0.2114,0.1536
chr18,1505001,1525000,1514674,1979,1221,40.5553,11.4132,0.5608,0.2289,0.1756
chr18,1510001,1530000,1518802,1723,1034,34.8892,9.3057,0.5789,0.2057,0.1662
chr18,1515001,1535000,1524695,1647,999,27.9642,8.323,0.5413,0.149,0.1246
chr18,1520001,1540000,1530650,1636,990,31.2607,4.2381,0.7612,0.2297,0.1928
chr18,1525001,1545000,1535559,1491,918,23.6281,4.4039,0.6858,0.2008,0.1656
chr18,1530001,1550000,1539027,1540,983,21.5249,4.6719,0.6433,0.1745,0.1432
chr18,1535001,1555000,1544943,1547,972,20.9761,4.7141,0.633,0.2135,0.1677
chr18,1540001,1560000,1550886,1493,987,10.5376,3.6251,0.4881,0.101,0.0834
chr18,1545001,1565000,1555637,1613,1088,9.0102,2.8679,0.5171,0.0804,0.0681
chr18,1550001,1570000,1559876,1705,1174,13.4606,2.8691,0.6486,0.1208,0.1015
chr18,1555001,1575000,1564921,1635,1145,14.8369,1.804,0.7832,0.1579,0.1308
chr18,1560001,1580000,1570093,1605,1121,20.1927,2.419,0.786,0.227,0.1832
chr18,1565001,1585000,1575332,1600,1110,29.4,4.5585,0.7315,0.3362,0.2591
chr18,1570001,1590000,1580218,1592,1072,33.415,5.0473,0.7375,0.3632,0.2844
chr18,1575001,1595000,1584981,1570,1056,43.4067,6.3597,0.7444,0.3964,0.3211
