gene_id scaffold start end
HMEL002987 Hmel205001o 595772 604054
HMEL017066 Hmel205001o 900929 904106
HMEL017067 Hmel205001o 898487 900678
HMEL017068 Hmel205001o 895431 897570
HMEL017069 Hmel205001o 892200 894612
HMEL017070 Hmel205001o 886529 890979
HMEL017071 Hmel205001o 882399 890663
HMEL022575 Hmel205001o 874201 874936
HMEL017073 Hmel205001o 868255 871060
HMEL022564 Hmel205001o 909783 911327
HMEL007215 Hmel205001o 3538765 3549549
HMEL014734 Hmel205001o 6170892 6176630
HMEL012717 Hmel205001o 9085947 9089258
HMEL018124 Hmel206001o 3500316 3502759
HMEL006763 Hmel206001o 3330374 3333268
HMEL006762 Hmel206001o 3315836 3318804
HMEL008894 Hmel206001o 3840113 3859580
HMEL003208 Hmel206001o 6457466 6462834
HMEL002647 Hmel206001o 6944802 6968023
HMEL022558 Hmel206001o 7325908 7331489
HMEL022518 Hmel206001o 7502203 7505327
HMEL015770 Hmel206001o 7519061 7522293
HMEL022539 Hmel206001o 7522545 7526956
HMEL015783 Hmel206001o 7729206 7742853
HMEL015784 Hmel206001o 7743927 7749030
HMEL009152 Hmel206001o 9693947 9698025
HMEL008033 Hmel206001o 9721655 9725147
HMEL017754 Hmel206001o 9956204 9959148
HMEL006318 Hmel206001o 10590069 10594871
HMEL011518 Hmel206001o 11830618 11837459
HMEL022597 Hmel206001o 11928625 11937303
HMEL022517 Hmel206001o 12025190 12028831
HMEL014411 Hmel206001o 13501455 13530545
HMEL011223 Hmel207001o 1615180 1622635
HMEL011231 Hmel207001o 1707852 1724097
HMEL008505 Hmel207001o 2149235 2159676
HMEL008439 Hmel207001o 3708823 3722596
HMEL013859 Hmel207001o 5351100 5354756
HMEL003271 Hmel207001o 5864874 5867741
HMEL003270 Hmel207001o 5868034 5872555
HMEL005461 Hmel207001o 5929555 5938237
HMEL006305 Hmel207001o 9213170 9223131
HMEL013904 Hmel207001o 9441514 9446993
HMEL022637 Hmel208001o 2250163 2253407
HMEL009110 Hmel208001o 3521044 3533811
HMEL009106 Hmel208001o 3629565 3635415
HMEL016481 Hmel208001o 4557341 4562531
HMEL022607 Hmel208001o 4232357 4234698
HMEL022592 Hmel208001o 5508094 5516190
HMEL005605 Hmel208001o 5739974 5742212
HMEL006595 Hmel208001o 5910646 5915619
HMEL006095 Hmel209001o 141725 145406
HMEL007611 Hmel209001o 1303370 1305105
HMEL007613 Hmel209001o 1312793 1314351
HMEL009495 Hmel209001o 4040223 4042076
HMEL015713 Hmel209001o 5014911 5019243
HMEL010767 Hmel209001o 6359700 6362068
HMEL010768 Hmel209001o 6363745 6366354
HMEL022648 Hmel209001o 6618894 6624343
HMEL022651 Hmel209001o 6627564 6632064
HMEL022542 Hmel209001o 6650391 6655799
HMEL022538 Hmel209001o 6656140 6663335
HMEL022628 Hmel209001o 6669913 6675578
HMEL022641 Hmel209001o 6677741 6682725
HMEL022619 Hmel209001o 6687535 6698050
HMEL022604 Hmel209001o 6699399 6704531
HMEL022664 Hmel209001o 6712228 6717173
HMEL022625 Hmel209001o 6717900 6722182
HMEL009260 Hmel209001o 7533922 7545119
HMEL003876 Hmel209001o 7773494 7789418
HMEL022591 Hmel210001o 1516675 1525065
HMEL022606 Hmel210001o 1802574 1837634
HMEL007550 Hmel210001o 1864976 1870974
HMEL002876 Hmel210001o 2946362 2950424
HMEL002899 Hmel210001o 3176284 3181378
HMEL002901 Hmel210001o 3249290 3264479
HMEL002902 Hmel210001o 3269281 3273702
HMEL002903 Hmel210001o 3274645 3281760
HMEL002904 Hmel210001o 3280411 3284007
HMEL002905 Hmel210001o 3283799 3286163
HMEL002906 Hmel210001o 3286615 3289025
HMEL002910 Hmel210001o 3371882 3375048
HMEL017163 Hmel210001o 3926117 3928561
HMEL017162 Hmel210001o 3930529 3931818
HMEL017161 Hmel210001o 3939462 3940767
HMEL017154 Hmel210001o 4057506 4059147
HMEL017153 Hmel210001o 4062400 4064404
HMEL022560 Hmel210001o 4156250 4158542
HMEL022640 Hmel210001o 4164206 4167678
HMEL022652 Hmel210001o 4176693 4179683
HMEL022672 Hmel210001o 4212360 4214586
HMEL022655 Hmel210001o 4215835 4219330
HMEL022629 Hmel210001o 4220464 4223025
HMEL022644 Hmel210001o 4225134 4227676
HMEL022633 Hmel210001o 4234908 4238493
HMEL022620 Hmel210001o 4253643 4256059
HMEL022626 Hmel210001o 4263432 4265881
HMEL022631 Hmel210001o 4267035 4268942
HMEL022649 Hmel210001o 4271177 4275772
HMEL022642 Hmel210001o 4285805 4288587
HMEL022667 Hmel210001o 4322602 4325242
HMEL022670 Hmel210001o 4328559 4333426
HMEL022653 Hmel210001o 4336706 4339372
HMEL022671 Hmel210001o 4342713 4345728
HMEL022614 Hmel210001o 4367759 4370562
HMEL004369 Hmel210001o 5023676 5032491
HMEL015379 Hmel210001o 5622338 5626275
HMEL015380 Hmel210001o 5627141 5629507
HMEL015381 Hmel210001o 5630835 5631643
HMEL015382 Hmel210001o 5633093 5634131
HMEL005884 Hmel210001o 6340459 6343742
HMEL002841 Hmel210001o 6776225 6804603
HMEL004520 Hmel210001o 9862844 9865856
HMEL005809 Hmel210001o 10401105 10417682
HMEL005924 Hmel210001o 10496135 10527824
HMEL005932 Hmel210001o 10616832 10623538
HMEL005933 Hmel210001o 10628665 10633063
HMEL012499 Hmel210001o 11503936 11507075
HMEL013351 Hmel210001o 12248933 12254456
HMEL013355 Hmel210001o 12281219 12287934
HMEL007304 Hmel210001o 13659652 13663695
HMEL007303 Hmel210001o 13665129 13669825
HMEL022536 Hmel210001o 13677777 13680680
HMEL003711 Hmel210001o 14009849 14011802
HMEL015914 Hmel210001o 14026724 14028899
HMEL015916 Hmel210001o 14032863 14033213
HMEL015917 Hmel210001o 14043026 14043376
HMEL015918 Hmel210001o 14045195 14047220
HMEL015920 Hmel210001o 14051877 14052646
HMEL015924 Hmel210001o 14063450 14063806
HMEL015927 Hmel210001o 14067299 14067664
HMEL015928 Hmel210001o 14068199 14069201
HMEL006981 Hmel210001o 16493005 16494075
HMEL004530 Hmel211001o 1337583 1339760
HMEL004447 Hmel211001o 1441121 1442620
HMEL003344 Hmel211001o 5505432 5508035
HMEL003346 Hmel211001o 5517363 5526014
HMEL003989 Hmel211001o 6216739 6222624
HMEL015692 Hmel211001o 6531257 6537560
HMEL013081 Hmel211001o 7218464 7223641
HMEL017131 Hmel212001o 7486630 7490392
HMEL017130 Hmel212001o 7496637 7501484
HMEL017129 Hmel212001o 7502097 7507355
HMEL012587 Hmel212001o 8655350 8658456
HMEL011910 Hmel212001o 10234969 10242397
HMEL011930 Hmel212001o 10455041 10462989
HMEL022555 Hmel212001o 11097353 11101368
HMEL012676 Hmel212001o 11561942 11565612
HMEL012955 Hmel212001o 12068128 12071328
HMEL012954 Hmel212001o 12076254 12082678
HMEL017575 Hmel212001o 12689114 12692202
HMEL013360 Hmel213001o 1790150 1797889
HMEL009897 Hmel213001o 2359872 2380888
HMEL014329 Hmel213001o 4805913 4807444
HMEL016930 Hmel213001o 5552792 5556835
HMEL016918 Hmel213001o 5640742 5644409
HMEL017149 Hmel213001o 7097809 7104438
HMEL017148 Hmel213001o 7107351 7110734
HMEL018035 Hmel213001o 7437072 7440351
HMEL007567 Hmel213001o 8135980 8138523
HMEL007568 Hmel213001o 8139593 8141359
HMEL005374 Hmel213001o 9509061 9513236
HMEL013797 Hmel213001o 9522655 9524792
HMEL013801 Hmel213001o 9559318 9562290
HMEL017301 Hmel213001o 9969680 9979117
HMEL006421 Hmel213001o 11691342 11693242
HMEL012883 Hmel213001o 12086747 12087370
HMEL007173 Hmel213001o 13834396 13836163
HMEL007174 Hmel213001o 13837471 13837697
HMEL007175 Hmel213001o 13845041 13849247
HMEL003058 Hmel213001o 14235647 14247364
HMEL007856 Hmel213001o 14257756 14266372
HMEL005621 Hmel213001o 16905620 16907124
HMEL004897 Hmel214004o 1044394 1050620
HMEL007604 Hmel214004o 1980800 1981004
HMEL022515 Hmel214004o 1994662 1994871
HMEL005634 Hmel214004o 2211650 2219532
HMEL007941 Hmel214004o 3000376 3004586
HMEL022572 Hmel214004o 3535899 3536795
HMEL018109 Hmel214004o 3537716 3538518
HMEL018110 Hmel214004o 3541081 3541901
HMEL018112 Hmel214004o 3548319 3548844
HMEL018113 Hmel214004o 3550965 3554082
HMEL013981 Hmel214004o 3758518 3760374
HMEL005597 Hmel214004o 3857270 3858515
HMEL005596 Hmel214004o 3862182 3863096
HMEL022611 Hmel214004o 3864003 3865089
HMEL005594 Hmel214004o 3865885 3866639
HMEL005593 Hmel214004o 3869981 3870763
HMEL018106 Hmel214004o 3869981 3870763
HMEL018105 Hmel214004o 3872345 3873248
HMEL003116 Hmel214004o 3876025 3880269
HMEL003115 Hmel214004o 3882154 3883356
HMEL003114 Hmel214004o 3886579 3888141
HMEL003113 Hmel214004o 3889513 3890242
HMEL018123 Hmel214004o 3914551 3915988
HMEL018122 Hmel214004o 3918642 3919501
HMEL010992 Hmel214004o 3925254 3926566
HMEL010990 Hmel214004o 3929691 3938434
HMEL010988 Hmel214004o 3951286 3955065
HMEL010987 Hmel214004o 3955954 3957077
HMEL011549 Hmel214004o 8083435 8097470
HMEL016108 Hmel214004o 8696842 8697718
HMEL016107 Hmel214004o 8700409 8701357
HMEL022500 Hmel214004o 8703277 8704555
HMEL004625 Hmel214004o 8822052 8823554
HMEL018114 Hmel215003o 356272 359106
HMEL000004 Hmel215003o 1215536 1218028
HMEL000006 Hmel215003o 1219679 1236549
HMEL000013 Hmel215003o 1294558 1306028
HMEL000014 Hmel215003o 1306401 1307731
HMEL000017 Hmel215003o 1318542 1320832
HMEL000019 Hmel215003o 1330657 1332150
HMEL000022 Hmel215003o 1351495 1356190
HMEL000024 Hmel215003o 1357626 1360322
HMEL000025 Hmel215003o 1413776 1533113
HMEL000026 Hmel215003o 1572230 1595993
HMEL000028 Hmel215003o 1603577 1604640
HMEL000030 Hmel215003o 1606554 1607984
HMEL000032 Hmel215003o 1616163 1626682
HMEL000033 Hmel215003o 1626954 1673414
HMEL000036 Hmel215003o 1692587 1718602
HMEL000037 Hmel215003o 1715881 1722998
HMEL000039 Hmel215003o 1749807 1753375
HMEL000040 Hmel215003o 1753886 1756812
HMEL000041 Hmel215003o 1757523 1762050
HMEL000042 Hmel215003o 1762041 1765412
HMEL000043 Hmel215003o 1765601 1767959
HMEL000047 Hmel215003o 1779098 1781716
HMEL000050 Hmel215003o 1790055 1799577
HMEL000053 Hmel215003o 1912041 1930770
HMEL000058 Hmel215003o 1973185 1974985
HMEL002043 Hmel215003o 2031712 2034394
HMEL004614 Hmel215003o 2079679 2084621
HMEL008262 Hmel215003o 5308827 5311854
HMEL012765 Hmel215003o 8032843 8045155
HMEL013737 Hmel215003o 9888936 9897475
HMEL013738 Hmel215003o 9880659 9888006
HMEL013739 Hmel215003o 9865814 9879642
HMEL013741 Hmel215003o 9854814 9861640
HMEL013742 Hmel215003o 9845742 9852337
HMEL018120 Hmel216002o 1750731 1772095
HMEL018119 Hmel216002o 1774810 1780258
HMEL017316 Hmel216002o 3556374 3560478
HMEL022622 Hmel216002o 3809200 3809808
HMEL022623 Hmel216002o 3809200 3811745
HMEL022669 Hmel216002o 3815776 3818848
HMEL022563 Hmel216002o 3831303 3832942
HMEL022654 Hmel216002o 4393234 4397806
HMEL022636 Hmel216002o 4383773 4390375
HMEL022658 Hmel216002o 4380092 4383044
HMEL022659 Hmel216002o 4375987 4378905
HMEL011141 Hmel216002o 5474300 5487212
HMEL022521 Hmel216002o 6430138 6431264
HMEL010232 Hmel216002o 6434591 6435831
HMEL010231 Hmel216002o 6437466 6439010
HMEL010230 Hmel216002o 6439689 6440986
HMEL010229 Hmel216002o 6442711 6443786
HMEL010228 Hmel216002o 6446600 6448944
HMEL010227 Hmel216002o 6454471 6455826
HMEL010226 Hmel216002o 6456683 6457616
HMEL022602 Hmel216002o 6459636 6461353
HMEL010224 Hmel216002o 6462473 6463781
HMEL004401 Hmel216002o 6655782 6661122
HMEL022531 Hmel216002o 7958436 7979951
HMEL017528 Hmel216002o 7980696 7988183
HMEL007884 Hmel216002o 9955550 9958331
HMEL006588 Hmel217001o 3985540 3991987
HMEL016705 Hmel217001o 4653893 4663558
HMEL016702 Hmel217001o 4681686 4684069
HMEL016675 Hmel217001o 5235531 5242037
HMEL016674 Hmel217001o 5248926 5251804
HMEL016673 Hmel217001o 5255837 5257918
HMEL009876 Hmel217001o 7930435 7937824
HMEL002625 Hmel217001o 8436869 8439802
HMEL014519 Hmel217001o 10022253 10043660
HMEL010962 Hmel217001o 12483061 12492944
HMEL013244 Hmel217001o 12728970 12742171
HMEL022661 Hmel217001o 12778034 12781569
HMEL022635 Hmel217001o 12783334 12787892
HMEL022609 Hmel217001o 12793783 12797719
HMEL007793 Hmel217001o 13291277 13302421
HMEL022568 Hmel217001o 13405956 13408102
HMEL007800 Hmel217001o 13411302 13421743
HMEL007801 Hmel217001o 13426976 13436061
HMEL005224 Hmel217001o 13985505 13993995
HMEL014755 Hmel217001o 14584947 14590598
HMEL003176 Hmel218003o 363646 366630
HMEL001028 Hmel218003o 705604 706407
HMEL022514 Hmel218003o 1338633 1340133
HMEL005059 Hmel218003o 1807219 1813474
HMEL006666 Hmel218003o 2311462 2313780
HMEL022553 Hmel218003o 2317896 2320128
HMEL006663 Hmel218003o 2320860 2321705
HMEL002556 Hmel218003o 4303022 4303693
HMEL002564 Hmel218003o 4392887 4399434
HMEL003256 Hmel218003o 5094955 5111526
HMEL011010 Hmel218003o 5805099 5808911
HMEL009157 Hmel218003o 6080180 6081925
HMEL009158 Hmel218003o 6079123 6080019
HMEL003842 Hmel218003o 6071069 6071458
HMEL003843 Hmel218003o 6069133 6071018
HMEL017500 Hmel218003o 6354166 6358191
HMEL017493 Hmel218003o 6509331 6514078
HMEL017487 Hmel218003o 6792643 6796665
HMEL017479 Hmel218003o 6908474 6912163
HMEL016235 Hmel218003o 7093880 7097770
HMEL016226 Hmel218003o 7442428 7446282
HMEL005258 Hmel218003o 11174612 11184925
HMEL008689 Hmel219001o 21697 22101
HMEL008612 Hmel219001o 1906707 1909432
HMEL010650 Hmel219001o 1926978 1927768
HMEL010651 Hmel219001o 1929701 1931902
HMEL013955 Hmel219001o 2446103 2447320
HMEL013954 Hmel219001o 2455223 2458640
HMEL010930 Hmel219001o 2467935 2470536
HMEL010931 Hmel219001o 2473243 2485706
HMEL010934 Hmel219001o 2487856 2496237
HMEL010935 Hmel219001o 2499716 2503986
HMEL010939 Hmel219001o 2515283 2519690
HMEL003520 Hmel219001o 2574862 2582105
HMEL006188 Hmel219001o 3708143 3712381
HMEL013155 Hmel219001o 4502463 4512662
HMEL002679 Hmel219001o 6904966 6912716
HMEL009290 Hmel219001o 7968074 7992842
HMEL009291 Hmel219001o 8007862 8016301
HMEL022639 Hmel219001o 8151425 8154140
HMEL022665 Hmel219001o 8155898 8159396
HMEL022630 Hmel219001o 8162932 8170220
HMEL022645 Hmel219001o 8172937 8182024
HMEL018115 Hmel219001o 8992076 8994870
HMEL022516 Hmel219001o 9002179 9008003
HMEL022599 Hmel219001o 9017636 9020984
HMEL002402 Hmel219001o 9710743 9716295
HMEL010394 Hmel219001o 9601274 9602065
HMEL008054 Hmel219001o 12078272 12106456
HMEL022506 Hmel219001o 12865428 12868723
HMEL008768 Hmel219001o 13201987 13208037
HMEL008770 Hmel219001o 13208927 13215063
HMEL008772 Hmel219001o 13218244 13219611
HMEL003581 Hmel219001o 13219936 13226111
HMEL003582 Hmel219001o 13230325 13235671
HMEL003583 Hmel219001o 13235647 13241794
HMEL003584 Hmel219001o 13244582 13248829
HMEL002471 Hmel219001o 13322585 13327993
HMEL010693 Hmel219001o 14207796 14216542
HMEL010692 Hmel219001o 14218061 14220962
HMEL007770 Hmel219001o 14234773 14249723
HMEL006027 Hmel219001o 14377197 14380468
HMEL013379 Hmel219001o 16080063 16091591
HMEL015704 Hmel220003o 3000260 3008553
HMEL022556 Hmel220003o 3084215 3086965
HMEL015610 Hmel220003o 6055620 6065845
HMEL005067 Hmel220003o 6302219 6308040
HMEL005066 Hmel220003o 6305846 6309602
HMEL005049 Hmel220003o 8229358 8250521
HMEL022507 Hmel220003o 8430746 8434882
HMEL008160 Hmel220003o 10283955 10289776
HMEL022545 Hmel220003o 10756392 10760761
HMEL014247 Hmel220003o 11234928 11247624
HMEL010412 Hmel220003o 12121212 12130146
HMEL006341 Hmel220003o 13151888 13161696
HMEL006338 Hmel220003o 13193961 13200694
HMEL010874 Hmel220003o 14044493 14072153
HMEL009541 Hmel221001o 10562 27249
HMEL011045 Hmel221001o 265310 299201
HMEL007289 Hmel221001o 2131326 2143311
HMEL008777 Hmel221001o 3430653 3437685
HMEL010367 Hmel221001o 3752502 3756872
HMEL012087 Hmel221001o 4411776 4424721
HMEL016628 Hmel221001o 5058867 5072291
HMEL010376 Hmel221001o 9430268 9443242
HMEL010377 Hmel221001o 9453509 9470201
HMEL010548 Hmel221001o 9306880 9315594
HMEL010552 Hmel221001o 9368244 9370538
HMEL013401 Hmel221001o 11574832 11581603
HmIR7d2_1 Hmel201001o 2620972 2622753
HmIR7d1_1 Hmel201001o 2622940 2624724
HmGr9_1 Hmel202001o 1799777 1810382
HmGr23_1 Hmel202001o 1862023 1863186
HmGr57_1 Hmel202001o 1866151 1871430
HmelUGT33S3 Hmel202001o 1926007 1928051
HmGr13_1 Hmel202001o 1928672 1931861
HmIR31a_1 Hmel202001o 2201965 2207142
HmelUGT33S4 Hmel202001o 2228638 2231383
HmGr10_1 Hmel202001o 2767203 2771417
HmGr56_1 Hmel202001o 2776368 2780282
HmGr16_1 Hmel202001o 2785773 2790584
HmGr55_1 Hmel202001o 2804255 2807992
HmGr70_1 Hmel202001o 4987070 4988961
HmGr71_1 Hmel202001o 4989760 4991688
HmelGSTd2 Hmel203003o 837904 842777
HmelGSTs11 Hmel203003o 2543934 2545329
HmelGSTd1 Hmel203003o 4288864 4292326
HmGr28_1 Hmel203003o 7776614 7777929
HmGr36_1 Hmel203003o 7804304 7806516
HmGr27_1 Hmel203003o 7815621 7817596
HmelGSTu1 Hmel203003o 8242544 8246999
HmelGSTe6 Hmel204001o 6632522 6634951
HmIR143a_1 Hmel205001o 1517575 1519545
HmelGSTs7 Hmel205001o 8152748 8155338
HmelGSTs8 Hmel205001o 8156801 8158585
HmelGSTs9 Hmel205001o 8161159 8162817
HmelGSTs10 Hmel205001o 8165581 8166820
HmelGSTs1 Hmel205001o 8172825 8176586
HmelGSTs2 Hmel205001o 8182099 8185520
HmelGSTs3 Hmel205001o 8186627 8190217
HmelGSTs4 Hmel205001o 8191462 8193661
HmelGSTs5 Hmel205001o 8196666 8198864
HmelGSTs6 Hmel205001o 8203513 8205410
HmGr43_1 Hmel206001o 2346738 2349261
HmIR60a_1 Hmel206001o 3434612 3436600
HmGr69_1 Hmel206001o 6693417 6696051
HmGr15_1 Hmel207001o 7136425 7138273
HmelGSTo4 Hmel207001o 8197922 8199820
HmelGSTo8 Hmel207001o 8202312 8203515
HmelGSTo7 Hmel207001o 8210585 8213921
HmelGSTo6 Hmel207001o 8216264 8217577
HmelGSTo2 Hmel207001o 8219567 8221444
HmelGSTo1 Hmel207001o 8222434 8224573
HmelGSTo5 Hmel207001o 8225429 8227514
HmIR87a_1 Hmel208001o 990184 992118
HmelGSTz1 Hmel208001o 1827891 1829593
HmGr17_1 Hmel208001o 4550853 4553176
HmGr18_1 Hmel208001o 4539626 4543497
HmelUGT34A5 Hmel208001o 4232360 4234698
HmelUGT47A4 Hmel208001o 5510413 5516187
HmGr29_1 Hmel209001o 1733222 1735904
HmGr30_1 Hmel209001o 1726798 1728936
HmGr31_1 Hmel209001o 1556196 1558237
HmGr54_1 Hmel209001o 1831721 1833320
HmGr12_1 Hmel209001o 1879228 1881503
HmGr14_1 Hmel209001o 1882827 1884931
HmGr11_1 Hmel209001o 1885596 1887596
HmGr39_1 Hmel209001o 1890090 1892264
HmGr35_1 Hmel209001o 1893497 1895211
HmGr37_1 Hmel209001o 1903243 1906088
HmGr38_1 Hmel209001o 1903243 1906088
HmGr41_1 Hmel209001o 1915547 1918162
HmGr40_1 Hmel209001o 1915547 1918162
HmGr34_1 Hmel209001o 1920338 1922475
HmGr3_1 Hmel209001o 4543896 4547164
HmelGSTe1 Hmel209001o 6373088 6376397
HmelUGT40V3 Hmel209001o 6618897 6624343
HmelUGT40V2 Hmel209001o 6627567 6632064
HmelUGT40V1 Hmel209001o 6650393 6655796
HmelUGT40Y1 Hmel209001o 6656900 6663335
HmelUGT40Z2 Hmel209001o 6669913 6675575
HmelUGT40Z1 Hmel209001o 6677741 6682722
HmelUGT40X1 Hmel209001o 6687535 6698047
HmelUGT40U1 Hmel209001o 6699402 6704531
HmelUGT40W2 Hmel209001o 6712228 6717170
HmelUGT40W1 Hmel209001o 6717900 6722179
HmGr62_1 Hmel210001o 2767032 2769112
HmelUGT33W1 Hmel210001o 4156250 4158539
HmelUGT33AC1 Hmel210001o 4164206 4167675
HmelUGT33AC2 Hmel210001o 4176693 4179680
HmelUGT33U1 Hmel210001o 4212360 4214583
HmelUGT33U2 Hmel210001o 4215835 4219327
HmelUGT33U3 Hmel210001o 4220464 4223022
HmelUGT33U4 Hmel210001o 4225134 4227673
HmelUGT33G1 Hmel210001o 4234908 4238490
HmelUGT33AA1 Hmel210001o 4253646 4256059
HmelUGT33Y1 Hmel210001o 4263435 4265881
HmelUGT33Y2 Hmel210001o 4267035 4268939
HmelUGT33V1 Hmel210001o 4271177 4275769
HmelUGT33V2 Hmel210001o 4285805 4288584
HmelUGT33Z1 Hmel210001o 4322605 4325242
HmelUGT33Z2 Hmel210001o 4328562 4333426
HmelUGT33AB1 Hmel210001o 4336709 4339372
HmelUGT33AB2 Hmel210001o 4342716 4345728
HmelUGT33U5 Hmel210001o 4367759 4370559
HmIR21a_1 Hmel210001o 15156040 15160167
HmGr6_1 Hmel211001o 2398316 2406624
HmGr45_1 Hmel211001o 2411924 2416435
HmGr8_1 Hmel211001o 2422888 2427633
HmGr7_1 Hmel211001o 2430149 2436120
HmGr5_1 Hmel211001o 2442673 2446669
HmGr52_1 Hmel211001o 2447238 2451553
HmGr4_1 Hmel211001o 2466169 2473272
HmelGSTz2 Hmel211001o 7609334 7620230
HmGr68_1 Hmel212001o 10242856 10245212
HmGr2_1 Hmel212001o 10517906 10524819
HmelUGT39B4 Hmel212001o 11097356 11101368
HmGr63_1 Hmel212001o 13206414 13208544
HmelGSTt1 Hmel212001o 14180757 14182876
HmIR1_1 Hmel213001o 212904 221908
HmIR41a_1 Hmel213001o 4697052 4700309
HmelGSTe4 Hmel213001o 6617521 6620460
HmelGSTe3 Hmel213001o 6613177 6614991
HmGr66_1 Hmel213001o 7113763 7114887
HmIR40a_1 Hmel213001o 8360854 8390514
HmIR7d4_1 Hmel214004o 2045362 2047197
HmelGSTu2 Hmel214004o 6670504 6671349
HmIR64a_1 Hmel214004o 6684846 6688218
HmIR75p1_1 Hmel214004o 7255969 7262823
HmIR75p2_1 Hmel214004o 7263932 7268751
HmGr33_1 Hmel214004o 7420147 7422609
HmGr32_1 Hmel214004o 7423320 7425018
HmGr73_1 Hmel214004o 7437419 7439751
HmGr72_1 Hmel214004o 7441198 7443700
HmGr20_1 Hmel214004o 7679726 7681708
HmGr19_1 Hmel214004o 7687101 7690225
HmGr21_1 Hmel214004o 7690799 7693673
HmelGSTe7 Hmel214004o 8472028 8474601
HmGr46_1 Hmel215003o 3295018 3297865
HmIR75q1_1 Hmel215003o 3742333 3747646
HmIR75q2_1 Hmel215003o 3753386 3764363
HmIR7d3_1 Hmel215003o 6175368 6177104
HmelUGT33X4 Hmel216002o 3809203 3809806
HmelUGT33X2 Hmel216002o 3809203 3811745
HmelUGT33X1 Hmel216002o 3815779 3818848
HmelUGT33X3 Hmel216002o 3831303 3832939
HmelUGT44A4 Hmel216002o 4393237 4397806
HmelUGT42A3 Hmel216002o 4383776 4390375
HmelUGT42D1 Hmel216002o 4380095 4383044
HmelUGT42B3 Hmel216002o 4375990 4378905
HmelUGT50A4 Hmel216002o 7975967 7979948
HmGr67_1 Hmel217001o 2035023 2037177
HmIR76b_1 Hmel217001o 3092184 3098117
HmGr42_1 Hmel217001o 4302234 4304907
HmGr44_1 Hmel217001o 4305062 4306612
HmelUGT41E3 Hmel217001o 12778034 12781566
HmelUGT41E2 Hmel217001o 12783334 12787889
HmelUGT41E1 Hmel217001o 12793783 12797716
HmelUGT33AA2 Hmel217001o 13405959 13408102
HmelGSTo3 Hmel217001o 13505409 13508298
HmIR8a_1 Hmel217001o 13759059 13770143
HmIR25a_1 Hmel218003o 2136048 2147528
HmGr1_1 Hmel218003o 2575738 2580627
HmGr53_1 Hmel218003o 2892594 2893784
HmGr25_1 Hmel218003o 2894726 2895946
HmGr24_1 Hmel218003o 2897412 2898620
HmGr26_1 Hmel218003o 2900066 2901259
HmGr22_1 Hmel218003o 2905262 2906479
HmIR85a_1 Hmel218003o 8462646 8464667
HmIR93a_1 Hmel218003o 8538965 8550675
HmGr60_1 Hmel218003o 10596697 10599158
HmelUGT46D1 Hmel219001o 8151425 8154137
HmelUGT46D2 Hmel219001o 8155898 8159393
HmelUGT46D3 Hmel219001o 8162935 8170220
HmelUGT46E1 Hmel219001o 8172940 8182024
HmGr49_1 Hmel219001o 8765849 8772027
